* Measurement data measured by REW V5.40 beta 107
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -13.8 dBFS, measurement signal peak level -12.8 dBFS
* Format: 8 second File FSAF from PINK_NOISE_REFERENCE.wav starting at 0 s at -12.0 dBFS using an acoustic timing reference
* Dated: 2025 Dec 2 14:55:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: HP: L-R 12 dB/octave at 20 Hz LP: L-R 12 dB/octave at 20 kHz
* Measurement: R HØJ Dec 2
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 41.690 -149.1604
10.430145 43.485 -170.8649
10.766602 45.200 168.1562
11.103058 46.859 147.9907
11.439514 48.458 128.8174
11.775970 49.976 110.7834
12.112427 51.383 93.9443
12.448883 52.652 78.3052
12.785339 53.762 63.8308
13.121796 54.701 50.4856
13.458252 55.458 38.2599
13.794708 56.030 27.1808
14.131165 56.418 17.3193
14.467621 56.628 8.8231
14.804077 56.677 1.9094
15.140533 56.603 -3.1350
15.476990 56.475 -6.0074
15.813446 56.409 -6.5723
16.149902 56.552 -5.1260
16.486359 57.018 -2.5980
16.822815 57.814 -0.2349
17.159271 58.839 1.0455
17.495728 59.963 0.9633
17.832184 61.088 -0.3037
18.168640 62.163 -2.4258
18.505096 63.175 -5.1050
18.841553 64.129 -8.1405
19.178009 65.035 -11.4357
19.514465 65.902 -14.9620
19.850922 66.731 -18.7189
20.187378 67.520 -22.7014
20.523834 68.265 -26.8781
20.860291 68.966 -31.1977
21.196747 69.625 -35.6087
21.533203 70.249 -40.0778
21.869659 70.846 -44.6129
22.206116 71.421 -49.2563
22.542572 71.974 -54.0732
22.879028 72.494 -59.1174
23.215485 72.966 -64.4045
23.551941 73.373 -69.8977
23.888397 73.701 -75.5057
24.224854 73.941 -81.0970
24.561310 74.092 -86.5215
24.897766 74.161 -91.6312
25.234222 74.162 -96.3076
25.570679 74.117 -100.4773
25.907135 74.046 -104.1226
26.243591 73.968 -107.2747
26.580048 73.895 -109.9896
26.916504 73.835 -112.3241
27.252960 73.797 -114.3219
27.589417 73.787 -116.0245
27.925873 73.818 -117.5030
28.262329 73.897 -118.8781
28.598785 74.025 -120.3154
28.935242 74.189 -121.9813
29.271698 74.363 -123.9846
29.608154 74.516 -126.3377
29.944611 74.622 -128.9558
30.281067 74.662 -131.6860
30.617523 74.634 -134.3501
30.953979 74.545 -136.7898
31.290436 74.414 -138.9031
31.626892 74.261 -140.6657
31.963348 74.103 -142.1244
32.299805 73.946 -143.3610
32.636261 73.788 -144.4433
32.972717 73.621 -145.3845
33.309174 73.438 -146.1397
33.645630 73.244 -146.6340
33.982086 73.050 -146.8175
34.318542 72.875 -146.7114
34.654999 72.731 -146.4226
34.991455 72.617 -146.1068
35.327911 72.515 -145.8890
35.664368 72.393 -145.7891
36.000824 72.223 -145.6873
36.337280 71.985 -145.3354
36.673737 71.685 -144.4059
37.010193 71.356 -142.5710
37.346649 71.064 -139.6259
37.683105 70.896 -135.6373
38.019562 70.925 -131.0277
38.356018 71.178 -126.4564
38.692474 71.616 -122.5309
39.028931 72.168 -119.5762
39.365387 72.762 -117.6218
39.701843 73.347 -116.5206
40.038300 73.893 -116.0657
40.374756 74.387 -116.0553
40.711212 74.825 -116.3160
41.047668 75.212 -116.7066
41.384125 75.555 -117.1208
41.720581 75.866 -117.4894
42.057037 76.155 -117.7815
42.393494 76.432 -117.9995
42.729950 76.701 -118.1584
43.066406 76.962 -118.2604
43.402863 77.215 -118.2766
43.739319 77.464 -118.1469
44.075775 77.722 -117.8126
44.412231 78.012 -117.2705
44.748688 78.360 -116.6240
45.085144 78.779 -116.0909
45.421600 79.262 -115.9412
45.758057 79.779 -116.3912
46.094513 80.285 -117.5208
46.430969 80.734 -119.2527
46.767426 81.092 -121.3856
47.103882 81.343 -123.6468
47.440338 81.489 -125.7439
47.776794 81.549 -127.4164
48.113251 81.560 -128.4870
48.449707 81.567 -128.9121
48.786163 81.611 -128.8037
49.122620 81.717 -128.3915
49.459076 81.885 -127.9271
49.795532 82.094 -127.5796
50.131989 82.320 -127.3892
50.468445 82.545 -127.2905
50.804901 82.766 -127.1787
51.141357 82.990 -126.9779
51.477814 83.234 -126.6859
51.814270 83.510 -126.3779
52.150726 83.819 -126.1711
52.487183 84.150 -126.1686
52.823639 84.487 -126.4149
53.160095 84.812 -126.8827
53.496552 85.114 -127.4907
53.833008 85.390 -128.1361
54.169464 85.645 -128.7303
54.505920 85.891 -129.2246
54.842377 86.140 -129.6208
55.178833 86.400 -129.9629
55.515289 86.675 -130.3133
55.851746 86.959 -130.7239
56.188202 87.247 -131.2143
56.524658 87.531 -131.7667
56.861115 87.808 -132.3375
57.197571 88.080 -132.8781
57.534027 88.355 -133.3580
57.870483 88.641 -133.7814
58.206940 88.946 -134.1906
58.543396 89.274 -134.6541
58.879852 89.622 -135.2446
59.216309 89.982 -136.0172
59.552765 90.344 -136.9945
59.889221 90.697 -138.1669
60.225677 91.032 -139.5005
60.562134 91.346 -140.9486
60.898590 91.637 -142.4633
61.235046 91.905 -144.0007
61.571503 92.153 -145.5251
61.907959 92.384 -147.0110
62.244415 92.605 -148.4445
62.580872 92.819 -149.8260
62.917328 93.032 -151.1707
63.253784 93.245 -152.5038
63.590240 93.458 -153.8527
63.926697 93.669 -155.2379
64.263153 93.875 -156.6662
64.599609 94.073 -158.1312
64.936066 94.262 -159.6188
65.272522 94.440 -161.1144
65.608978 94.608 -162.6063
65.945435 94.766 -164.0831
66.281891 94.915 -165.5289
66.618347 95.056 -166.9213
66.954803 95.194 -168.2387
67.291260 95.335 -169.4758
67.627716 95.487 -170.6595
67.964172 95.656 -171.8530
68.300629 95.841 -173.1384
68.637085 96.030 -174.5828
68.973541 96.211 -176.2047
69.309998 96.367 -177.9600
69.646454 96.490 -179.7531
69.982910 96.582 178.5294
70.319366 96.652 176.9775
70.655823 96.719 175.6239
70.992279 96.798 174.4318
71.328735 96.899 173.3138
71.665192 97.019 172.1730
72.001648 97.153 170.9429
72.338104 97.288 169.6053
72.674561 97.418 168.1807
73.011017 97.538 166.7045
73.347473 97.648 165.2067
73.683929 97.748 163.7050
74.020386 97.841 162.2103
74.356842 97.925 160.7365
74.693298 98.003 159.3007
75.029755 98.078 157.9153
75.366211 98.155 156.5738
75.702667 98.237 155.2463
76.039124 98.324 153.8914
76.375580 98.410 152.4804
76.712036 98.488 151.0198
77.048492 98.552 149.5530
77.384949 98.603 148.1384
77.721405 98.651 146.8121
78.057861 98.704 145.5588
78.394318 98.769 144.3114
78.730774 98.842 142.9873
79.067230 98.909 141.5428
79.403687 98.955 140.0097
79.740143 98.971 138.4910
80.076599 98.962 137.1134
80.413055 98.944 135.9597
80.749512 98.940 135.0123
81.085968 98.966 134.1486
81.422424 99.021 133.2040
81.758881 99.084 132.0681
82.095337 99.132 130.7515
82.431793 99.148 129.3796
82.768250 99.132 128.1228
83.104706 99.106 127.0994
83.441162 99.099 126.2953
83.777618 99.132 125.5535
84.114075 99.201 124.6536
84.450531 99.282 123.4413
84.786987 99.339 121.9158
85.123444 99.344 120.2304
85.459900 99.290 118.6219
85.796356 99.194 117.3109
86.132812 99.090 116.4064
86.469269 99.015 115.8511
86.805725 98.995 115.4448
87.142181 99.025 114.9473
87.478638 99.084 114.1970
87.815094 99.142 113.1683
88.151550 99.178 111.9480
88.488007 99.182 110.6687
88.824463 99.161 109.4462
89.160919 99.123 108.3441
89.497375 99.082 107.3723
89.833832 99.045 106.5073
90.170288 99.017 105.7177
90.506744 99.000 104.9744
90.843201 98.994 104.2478
91.179657 99.002 103.4990
91.516113 99.020 102.6816
91.852570 99.042 101.7575
92.189026 99.057 100.7167
92.525482 99.055 99.5891
92.861938 99.031 98.4392
93.198395 98.983 97.3453
93.534851 98.917 96.3735
93.871307 98.845 95.5567
94.207764 98.777 94.8879
94.544220 98.720 94.3289
94.880676 98.678 93.8280
95.217133 98.650 93.3382
95.553589 98.632 92.8264
95.890045 98.622 92.2736
96.226501 98.613 91.6716
96.562958 98.603 91.0220
96.899414 98.587 90.3378
97.235870 98.563 89.6461
97.572327 98.529 88.9838
97.908783 98.489 88.3873
98.245239 98.449 87.8764
98.581696 98.417 87.4409
98.918152 98.399 87.0386
99.254608 98.395 86.6082
99.591064 98.401 86.0947
99.927521 98.407 85.4739
100.263977 98.402 84.7639
100.600433 98.381 84.0190
100.936890 98.344 83.3082
101.273346 98.296 82.6869
101.609802 98.248 82.1733
101.946259 98.210 81.7403
102.282715 98.186 81.3279
102.619171 98.173 80.8720
102.955627 98.165 80.3351
103.292084 98.152 79.7233
103.628540 98.127 79.0816
103.964996 98.090 78.4716
104.301453 98.047 77.9421
104.637909 98.008 77.5055
104.974365 97.981 77.1320
105.310822 97.970 76.7629
105.647278 97.971 76.3384
105.983734 97.979 75.8242
106.320190 97.983 75.2239
106.656647 97.977 74.5731
106.993103 97.961 73.9205
107.329559 97.936 73.3068
107.666016 97.909 72.7499
108.002472 97.884 72.2417
108.338928 97.864 71.7567
108.675385 97.849 71.2663
109.011841 97.834 70.7529
109.348297 97.817 70.2161
109.684753 97.793 69.6707
110.021210 97.763 69.1399
110.357666 97.726 68.6454
110.694122 97.685 68.2020
111.030579 97.642 67.8149
111.367035 97.601 67.4816
111.703491 97.564 67.1942
112.039948 97.532 66.9402
112.376404 97.508 66.7017
112.712860 97.492 66.4534
113.049316 97.482 66.1658
113.385773 97.477 65.8132
113.722229 97.468 65.3851
114.058685 97.451 64.8956
114.395142 97.421 64.3828
114.731598 97.377 63.8973
115.068054 97.325 63.4826
115.404510 97.273 63.1556
115.740967 97.227 62.8985
116.077423 97.192 62.6693
116.413879 97.166 62.4247
116.750336 97.145 62.1439
117.086792 97.125 61.8355
117.423248 97.103 61.5254
117.759705 97.083 61.2331
118.096161 97.069 60.9540
118.432617 97.062 60.6598
118.769073 97.060 60.3179
119.105530 97.058 59.9164
119.441986 97.050 59.4745
119.778442 97.035 59.0320
120.114899 97.014 58.6210
120.451355 96.995 58.2430
120.787811 96.980 57.8663
121.124268 96.968 57.4493
121.460724 96.949 56.9764
121.797180 96.916 56.4784
122.133636 96.866 56.0233
122.470093 96.804 55.6800
122.806549 96.743 55.4756
123.143005 96.694 55.3741
123.479462 96.663 55.2947
123.815918 96.642 55.1611
124.152374 96.622 54.9498
124.488831 96.592 54.7014
124.825287 96.551 54.4901
125.161743 96.506 54.3704
125.498199 96.472 54.3356
125.834656 96.454 54.3179
126.171112 96.450 54.2319
126.507568 96.448 54.0327
126.844025 96.437 53.7461
127.180481 96.410 53.4516
127.516937 96.372 53.2297
127.853394 96.336 53.1076
128.189850 96.314 53.0381
128.526306 96.308 52.9293
128.862762 96.308 52.7079
129.199219 96.299 52.3724
129.535675 96.269 52.0005
129.872131 96.218 51.7060
130.208588 96.160 51.5726
130.545044 96.114 51.5997
130.881500 96.092 51.6948
131.217957 96.097 51.7244
131.554413 96.111 51.5931
131.890869 96.116 51.2992
132.227325 96.096 50.9343
132.563782 96.049 50.6342
132.900238 95.987 50.5100
133.236694 95.930 50.5928
133.573151 95.898 50.8176
133.909607 95.898 51.0577
134.246063 95.924 51.1907
134.582520 95.960 51.1548
134.918976 95.990 50.9631
135.255432 96.006 50.6791
135.591888 96.005 50.3757
135.928345 95.992 50.1025
136.264801 95.974 49.8747
136.601257 95.954 49.6835
136.937714 95.933 49.5156
137.274170 95.911 49.3693
137.610626 95.888 49.2561
137.947083 95.865 49.1898
138.283539 95.848 49.1716
138.619995 95.841 49.1818
138.956451 95.845 49.1819
139.292908 95.859 49.1288
139.629364 95.877 48.9924
139.965820 95.892 48.7696
140.302277 95.895 48.4886
140.638733 95.884 48.2022
140.975189 95.859 47.9716
141.311646 95.828 47.8440
141.648102 95.802 47.8305
141.984558 95.790 47.8959
142.321014 95.796 47.9677
142.657471 95.818 47.9671
142.993927 95.845 47.8472
143.330383 95.863 47.6179
143.666840 95.864 47.3436
144.003296 95.846 47.1149
144.339752 95.818 47.0053
144.676208 95.794 47.0348
