* Measurement data measured by REW V5.40 beta 107
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -37.0 dBFS, measurement signal peak level -36.1 dBFS
* Format: 8 second File FSAF from PINK_NOISE_REFERENCE.wav starting at 0 s at -12.0 dBFS using an acoustic timing reference
* Dated: 2025 Dec 2 14:53:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: HP: L-R 12 dB/octave at 20 Hz LP: L-R 12 dB/octave at 20 kHz
* Measurement: R LAV Dec 2
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 29.045 -21.8382
10.430145 27.914 -16.7928
10.766602 27.006 -8.8668
11.103058 26.585 1.2661
11.439514 26.800 11.5847
11.775970 27.541 19.9284
12.112427 28.548 25.3863
12.448883 29.605 28.1941
12.785339 30.600 28.9774
13.121796 31.484 28.3222
13.458252 32.247 26.6759
13.794708 32.891 24.3743
14.131165 33.426 21.6633
14.467621 33.867 18.7338
14.804077 34.229 15.7323
15.140533 34.531 12.7795
15.476990 34.792 9.9661
15.813446 35.034 7.3587
16.149902 35.280 4.9921
16.486359 35.555 2.8687
16.822815 35.879 0.9546
17.159271 36.270 -0.8270
17.495728 36.741 -2.5794
17.832184 37.294 -4.4213
18.168640 37.922 -6.4593
18.505096 38.611 -8.7742
18.841553 39.343 -11.4007
19.178009 40.096 -14.3296
19.514465 40.853 -17.5112
19.850922 41.598 -20.8671
20.187378 42.321 -24.3081
20.523834 43.019 -27.7446
20.860291 43.692 -31.1015
21.196747 44.347 -34.3346
21.533203 44.993 -37.4366
21.869659 45.636 -40.4420
22.206116 46.282 -43.4226
22.542572 46.931 -46.4705
22.879028 47.575 -49.6777
23.215485 48.202 -53.1128
23.551941 48.797 -56.8065
23.888397 49.342 -60.7484
24.224854 49.826 -64.8879
24.561310 50.238 -69.1472
24.897766 50.574 -73.4307
25.234222 50.836 -77.6377
25.570679 51.032 -81.6752
25.907135 51.174 -85.4715
26.243591 51.278 -88.9872
26.580048 51.364 -92.2280
26.916504 51.447 -95.2458
27.252960 51.539 -98.1327
27.589417 51.646 -100.9999
27.925873 51.762 -103.9542
28.262329 51.878 -107.0714
28.598785 51.980 -110.3831
28.935242 52.053 -113.8703
29.271698 52.084 -117.4710
29.608154 52.067 -121.0871
29.944611 51.999 -124.5999
30.281067 51.886 -127.8833
30.617523 51.742 -130.8250
30.953979 51.589 -133.3509
31.290436 51.454 -135.4561
31.626892 51.363 -137.2262
31.963348 51.334 -138.8373
32.299805 51.370 -140.5192
32.636261 51.454 -142.4921
32.972717 51.556 -144.9059
33.309174 51.638 -147.8091
33.645630 51.659 -151.1490
33.982086 51.587 -154.7930
34.318542 51.395 -158.5475
34.654999 51.063 -162.1696
34.991455 50.578 -165.3671
35.327911 49.938 -167.7883
35.664368 49.156 -169.0123
36.000824 48.273 -168.5583
36.337280 47.377 -165.9721
36.673737 46.608 -161.0668
37.010193 46.134 -154.2880
37.346649 46.059 -146.8164
37.683105 46.342 -139.9846
38.019562 46.843 -134.5247
38.356018 47.423 -130.4459
38.692474 47.998 -127.3853
39.028931 48.540 -124.9278
39.365387 49.054 -122.7631
39.701843 49.559 -120.7286
40.038300 50.079 -118.8005
40.374756 50.629 -117.0547
40.711212 51.210 -115.6106
41.047668 51.812 -114.5751
41.384125 52.418 -114.0071
41.720581 53.006 -113.9059
42.057037 53.561 -114.2191
42.393494 54.067 -114.8592
42.729950 54.518 -115.7178
43.066406 54.913 -116.6835
43.402863 55.255 -117.6506
43.739319 55.553 -118.5349
44.075775 55.822 -119.2823
44.412231 56.074 -119.8791
44.748688 56.325 -120.3554
45.085144 56.583 -120.7774
45.421600 56.850 -121.2304
45.758057 57.123 -121.7938
46.094513 57.391 -122.5190
46.430969 57.641 -123.4146
46.767426 57.861 -124.4446
47.103882 58.041 -125.5364
47.440338 58.180 -126.5950
47.776794 58.279 -127.5206
48.113251 58.348 -128.2267
48.449707 58.401 -128.6576
48.786163 58.455 -128.8013
49.122620 58.526 -128.6934
49.459076 58.624 -128.4078
49.795532 58.754 -128.0353
50.131989 58.913 -127.6575
50.468445 59.094 -127.3245
50.804901 59.288 -127.0477
51.141357 59.488 -126.8060
51.477814 59.694 -126.5611
51.814270 59.908 -126.2782
52.150726 60.135 -125.9425
52.487183 60.384 -125.5688
52.823639 60.660 -125.2013
53.160095 60.965 -124.9020
53.496552 61.294 -124.7338
53.833008 61.640 -124.7430
54.169464 61.993 -124.9483
54.505920 62.344 -125.3383
54.842377 62.683 -125.8767
55.178833 63.006 -126.5121
55.515289 63.314 -127.1893
55.851746 63.607 -127.8602
56.188202 63.891 -128.4921
56.524658 64.173 -129.0732
56.861115 64.458 -129.6123
57.197571 64.751 -130.1353
57.534027 65.054 -130.6774
57.870483 65.366 -131.2731
58.206940 65.683 -131.9487
58.543396 66.001 -132.7172
58.879852 66.316 -133.5778
59.216309 66.626 -134.5189
59.552765 66.927 -135.5240
59.889221 67.220 -136.5762
60.225677 67.506 -137.6638
60.562134 67.787 -138.7821
60.898590 68.062 -139.9337
61.235046 68.334 -141.1263
61.571503 68.601 -142.3692
61.907959 68.863 -143.6694
62.244415 69.117 -145.0289
62.580872 69.362 -146.4431
62.917328 69.596 -147.9020
63.253784 69.817 -149.3909
63.590240 70.026 -150.8941
63.926697 70.224 -152.3967
64.263153 70.412 -153.8870
64.599609 70.591 -155.3572
64.936066 70.764 -156.8035
65.272522 70.932 -158.2257
65.608978 71.095 -159.6260
65.945435 71.257 -161.0077
66.281891 71.416 -162.3749
66.618347 71.573 -163.7315
66.954803 71.729 -165.0807
67.291260 71.884 -166.4252
67.627716 72.037 -167.7666
67.964172 72.189 -169.1056
68.300629 72.339 -170.4423
68.637085 72.488 -171.7760
68.973541 72.635 -173.1059
69.309998 72.782 -174.4318
69.646454 72.928 -175.7548
69.982910 73.075 -177.0785
70.319366 73.223 -178.4093
70.655823 73.373 -179.7562
70.992279 73.523 178.8701
71.328735 73.672 177.4601
71.665192 73.818 176.0081
72.001648 73.959 174.5153
72.338104 74.093 172.9902
72.674561 74.217 171.4484
73.011017 74.332 169.9085
73.347473 74.438 168.3882
73.683929 74.538 166.8987
74.020386 74.635 165.4416
74.356842 74.730 164.0083
74.693298 74.825 162.5835
75.029755 74.920 161.1506
75.366211 75.011 159.6983
75.702667 75.098 158.2249
76.039124 75.176 156.7399
76.375580 75.246 155.2600
76.712036 75.306 153.8044
77.048492 75.360 152.3869
77.384949 75.410 151.0116
77.721405 75.459 149.6712
78.057861 75.508 148.3499
78.394318 75.557 147.0301
78.730774 75.603 145.6993
79.067230 75.645 144.3559
79.403687 75.679 143.0106
79.740143 75.704 141.6828
80.076599 75.722 140.3944
80.413055 75.735 139.1621
80.749512 75.747 137.9910
81.085968 75.761 136.8728
81.422424 75.780 135.7879
81.758881 75.805 134.7118
82.095337 75.835 133.6230
82.431793 75.867 132.5084
82.768250 75.898 131.3658
83.104706 75.927 130.2012
83.441162 75.952 129.0245
83.777618 75.973 127.8441
84.114075 75.991 126.6644
84.450531 76.006 125.4861
84.786987 76.017 124.3094
85.123444 76.024 123.1377
85.459900 76.025 121.9807
85.796356 76.020 120.8531
86.132812 76.012 119.7710
86.469269 76.002 118.7448
86.805725 75.994 117.7745
87.142181 75.992 116.8460
87.478638 75.998 115.9344
87.815094 76.010 115.0105
88.151550 76.027 114.0500
88.488007 76.044 113.0412
88.824463 76.056 111.9889
89.160919 76.061 110.9125
89.497375 76.056 109.8397
89.833832 76.042 108.7982
90.170288 76.023 107.8077
90.506744 76.002 106.8740
90.843201 75.983 105.9877
91.179657 75.969 105.1273
91.516113 75.959 104.2663
91.852570 75.952 103.3819
92.189026 75.943 102.4620
92.525482 75.929 101.5095
92.861938 75.907 100.5422
93.198395 75.873 99.5885
93.534851 75.830 98.6799
93.871307 75.780 97.8429
94.207764 75.728 97.0901
94.544220 75.681 96.4162
94.880676 75.642 95.7970
95.217133 75.613 95.1961
95.553589 75.594 94.5752
95.890045 75.581 93.9060
96.226501 75.567 93.1791
96.562958 75.549 92.4059
96.899414 75.522 91.6140
97.235870 75.487 90.8376
97.572327 75.445 90.1056
97.908783 75.402 89.4318
98.245239 75.361 88.8107
98.581696 75.327 88.2205
98.918152 75.300 87.6321
99.254608 75.277 87.0212
99.591064 75.255 86.3771
99.927521 75.230 85.7068
100.263977 75.199 85.0314
100.600433 75.161 84.3789
100.936890 75.119 83.7742
101.273346 75.076 83.2316
101.609802 75.036 82.7506
101.946259 75.004 82.3167
102.282715 74.981 81.9052
102.619171 74.968 81.4878
102.955627 74.963 81.0386
103.292084 74.962 80.5396
103.628540 74.961 79.9835
103.964996 74.956 79.3754
104.301453 74.944 78.7327
104.637909 74.921 78.0825
104.974365 74.889 77.4568
105.310822 74.849 76.8855
105.647278 74.806 76.3889
105.983734 74.765 75.9705
106.320190 74.732 75.6141
106.656647 74.710 75.2869
106.993103 74.700 74.9476
107.329559 74.699 74.5591
107.666016 74.703 74.0986
108.002472 74.705 73.5636
108.338928 74.701 72.9705
108.675385 74.687 72.3473
109.011841 74.664 71.7245
109.348297 74.632 71.1263
109.684753 74.597 70.5648
110.021210 74.559 70.0402
110.357666 74.521 69.5448
110.694122 74.484 69.0695
111.030579 74.446 68.6094
111.367035 74.407 68.1658
111.703491 74.368 67.7446
112.039948 74.329 67.3518
112.376404 74.292 66.9882
112.712860 74.259 66.6475
113.049316 74.229 66.3170
113.385773 74.204 65.9824
113.722229 74.181 65.6335
114.058685 74.159 65.2680
114.395142 74.135 64.8924
114.731598 74.108 64.5181
115.068054 74.081 64.1564
115.404510 74.053 63.8127
115.740967 74.026 63.4849
116.077423 74.002 63.1643
116.413879 73.981 62.8406
116.750336 73.960 62.5074
117.086792 73.940 62.1658
117.423248 73.918 61.8235
117.759705 73.895 61.4903
118.096161 73.874 61.1724
118.432617 73.855 60.8662
118.769073 73.840 60.5579
119.105530 73.830 60.2267
119.441986 73.821 59.8538
119.778442 73.810 59.4301
120.114899 73.793 58.9636
120.451355 73.764 58.4789
120.787811 73.724 58.0131
121.124268 73.672 57.6059
121.460724 73.615 57.2882
121.797180 73.558 57.0726
122.133636 73.508 56.9473
122.470093 73.472 56.8780
122.806549 73.450 56.8159
123.143005 73.441 56.7119
123.479462 73.439 56.5302
123.815918 73.437 56.2580
124.152374 73.428 55.9087
124.488831 73.406 55.5169
124.825287 73.370 55.1290
125.161743 73.321 54.7896
125.498199 73.265 54.5298
125.834656 73.209 54.3575
126.171112 73.159 54.2557
126.507568 73.119 54.1883
126.844025 73.089 54.1132
127.180481 73.065 53.9976
127.516937 73.041 53.8292
127.853394 73.013 53.6200
128.189850 72.977 53.4004
128.526306 72.934 53.2075
128.862762 72.886 53.0713
129.199219 72.840 53.0031
129.535675 72.801 52.9918
129.872131 72.773 53.0071
130.208588 72.757 53.0105
130.545044 72.749 52.9687
130.881500 72.746 52.8636
131.217957 72.743 52.6962
131.554413 72.734 52.4831
131.890869 72.719 52.2493
132.227325 72.698 52.0201
132.563782 72.671 51.8146
132.900238 72.642 51.6429
133.236694 72.613 51.5070
133.573151 72.585 51.4034
133.909607 72.560 51.3263
134.246063 72.538 51.2699
134.582520 72.520 51.2294
134.918976 72.506 51.2003
135.255432 72.496 51.1777
135.591888 72.491 51.1563
135.928345 72.489 51.1298
136.264801 72.492 51.0918
136.601257 72.498 51.0359
136.937714 72.507 50.9561
137.274170 72.517 50.8467
137.610626 72.527 50.7034
137.947083 72.535 50.5251
138.283539 72.538 50.3162
138.619995 72.535 50.0888
138.956451 72.522 49.8626
139.292908 72.502 49.6629
139.629364 72.474 49.5159
139.965820 72.443 49.4413
140.302277 72.414 49.4460
140.638733 72.392 49.5196
140.975189 72.381 49.6353
141.311646 72.382 49.7563
141.648102 72.395 49.8456
141.984558 72.414 49.8770
142.321014 72.435 49.8417
142.657471 72.454 49.7490
142.993927 72.466 49.6218
143.330383 72.471 49.4876
143.666840 72.471 49.3697
144.003296 72.468 49.2803
144.339752 72.466 49.2183
144.676208 72.466 49.1720
