* Measurement data measured by REW V5.40 beta 107
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -26.9 dBFS, measurement signal peak level -26.0 dBFS
* Format: 8 second File FSAF from PINK_NOISE_REFERENCE.wav starting at 0 s at -12.0 dBFS using an acoustic timing reference
* Dated: 2025 Dec 2 14:54:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: HP: L-R 12 dB/octave at 20 Hz LP: L-R 12 dB/octave at 20 kHz
* Measurement: R LAV Dec 2
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 30.755 27.2062
10.430145 30.358 40.9411
10.766602 31.207 53.7246
11.103058 32.798 61.3155
11.439514 34.547 63.8131
11.775970 36.197 62.7769
12.112427 37.678 59.4710
12.448883 38.991 54.7074
12.785339 40.149 48.9843
13.121796 41.163 42.6359
13.458252 42.046 35.8970
13.794708 42.804 28.9615
14.131165 43.440 22.0018
14.467621 43.958 15.1816
14.804077 44.364 8.6684
15.140533 44.665 2.6380
15.476990 44.874 -2.7284
15.813446 45.014 -7.2531
16.149902 45.117 -10.7853
16.486359 45.225 -13.2326
16.822815 45.388 -14.6103
17.159271 45.659 -15.0753
17.495728 46.074 -14.9211
17.832184 46.652 -14.5234
18.168640 47.383 -14.2510
18.505096 48.241 -14.3967
18.841553 49.189 -15.1467
19.178009 50.187 -16.5850
19.514465 51.199 -18.7071
19.850922 52.196 -21.4474
20.187378 53.153 -24.6971
20.523834 54.058 -28.3273
20.860291 54.903 -32.2087
21.196747 55.691 -36.2328
21.533203 56.428 -40.3265
21.869659 57.121 -44.4583
22.206116 57.777 -48.6382
22.542572 58.398 -52.9037
22.879028 58.979 -57.2974
23.215485 59.512 -61.8446
23.551941 59.985 -66.5371
23.888397 60.384 -71.3251
24.224854 60.701 -76.1199
24.561310 60.932 -80.8042
24.897766 61.079 -85.2463
25.234222 61.155 -89.3202
25.570679 61.177 -92.9282
25.907135 61.172 -96.0271
26.243591 61.166 -98.6477
26.580048 61.183 -100.8974
26.916504 61.234 -102.9354
27.252960 61.318 -104.9277
27.589417 61.425 -106.9977
27.925873 61.538 -109.2005
28.262329 61.642 -111.5261
28.598785 61.728 -113.9221
28.935242 61.794 -116.3261
29.271698 61.845 -118.6923
29.608154 61.887 -121.0058
29.944611 61.926 -123.2852
30.281067 61.966 -125.5708
30.617523 62.004 -127.9083
30.953979 62.035 -130.3320
31.290436 62.051 -132.8562
31.626892 62.043 -135.4729
31.963348 62.003 -138.1536
32.299805 61.923 -140.8534
32.636261 61.797 -143.5118
32.972717 61.620 -146.0530
33.309174 61.391 -148.3869
33.645630 61.113 -150.4123
33.982086 60.793 -152.0285
34.318542 60.445 -153.1525
34.654999 60.088 -153.7417
34.991455 59.741 -153.8122
35.327911 59.419 -153.4406
35.664368 59.127 -152.7346
36.000824 58.856 -151.7804
36.337280 58.591 -150.5862
36.673737 58.315 -149.0484
37.010193 58.027 -146.9576
37.346649 57.749 -144.0559
37.683105 57.536 -140.1575
38.019562 57.471 -135.3200
38.356018 57.626 -129.9769
38.692474 58.028 -124.8500
39.028931 58.628 -120.6255
39.365387 59.339 -117.6613
39.701843 60.069 -115.9483
40.038300 60.755 -115.2510
40.374756 61.364 -115.2573
40.711212 61.884 -115.6697
41.047668 62.322 -116.2465
41.384125 62.692 -116.8157
41.720581 63.012 -117.2768
42.057037 63.300 -117.5895
42.393494 63.570 -117.7554
42.729950 63.831 -117.7956
43.066406 64.090 -117.7295
43.402863 64.351 -117.5678
43.739319 64.620 -117.3177
44.075775 64.906 -117.0016
44.412231 65.218 -116.6727
44.748688 65.560 -116.4208
45.085144 65.931 -116.3562
45.421600 66.320 -116.5798
45.758057 66.709 -117.1492
46.094513 67.078 -118.0624
46.430969 67.408 -119.2566
46.767426 67.686 -120.6245
47.103882 67.908 -122.0371
47.440338 68.077 -123.3666
47.776794 68.203 -124.5076
48.113251 68.301 -125.3932
48.449707 68.387 -125.9999
48.786163 68.475 -126.3453
49.122620 68.575 -126.4725
49.459076 68.694 -126.4322
49.795532 68.834 -126.2679
50.131989 68.998 -126.0122
50.468445 69.187 -125.6930
50.804901 69.403 -125.3441
51.141357 69.649 -125.0116
51.477814 69.924 -124.7508
51.814270 70.222 -124.6149
52.150726 70.536 -124.6403
52.487183 70.855 -124.8369
52.823639 71.172 -125.1865
53.160095 71.480 -125.6496
53.496552 71.775 -126.1771
53.833008 72.059 -126.7220
54.169464 72.334 -127.2485
54.505920 72.605 -127.7366
54.842377 72.877 -128.1826
55.178833 73.153 -128.5952
55.515289 73.437 -128.9913
55.851746 73.729 -129.3908
56.188202 74.030 -129.8128
56.524658 74.338 -130.2738
56.861115 74.651 -130.7872
57.197571 74.969 -131.3631
57.534027 75.290 -132.0084
57.870483 75.610 -132.7265
58.206940 75.928 -133.5174
58.543396 76.242 -134.3779
58.879852 76.551 -135.3019
59.216309 76.853 -136.2816
59.552765 77.147 -137.3090
59.889221 77.435 -138.3773
60.225677 77.716 -139.4817
60.562134 77.990 -140.6202
60.898590 78.258 -141.7925
61.235046 78.519 -142.9997
61.571503 78.774 -144.2421
61.907959 79.021 -145.5182
62.244415 79.261 -146.8236
62.580872 79.493 -148.1518
62.917328 79.718 -149.4947
63.253784 79.935 -150.8444
63.590240 80.147 -152.1956
63.926697 80.355 -153.5471
64.263153 80.560 -154.9026
64.599609 80.764 -156.2707
64.936066 80.966 -157.6624
65.272522 81.167 -159.0887
65.608978 81.363 -160.5565
65.945435 81.553 -162.0660
66.281891 81.735 -163.6093
66.618347 81.906 -165.1703
66.954803 82.066 -166.7287
67.291260 82.216 -168.2635
67.627716 82.359 -169.7588
67.964172 82.497 -171.2080
68.300629 82.634 -172.6154
68.637085 82.772 -173.9953
68.973541 82.912 -175.3679
69.309998 83.053 -176.7528
69.646454 83.194 -178.1631
69.982910 83.330 -179.6019
70.319366 83.460 178.9384
70.655823 83.583 177.4738
70.992279 83.697 176.0233
71.328735 83.805 174.6032
71.665192 83.909 173.2214
72.001648 84.013 171.8748
72.338104 84.120 170.5492
72.674561 84.230 169.2230
73.011017 84.343 167.8739
73.347473 84.456 166.4851
73.683929 84.565 165.0509
74.020386 84.668 163.5780
74.356842 84.762 162.0839
74.693298 84.846 160.5915
75.029755 84.921 159.1231
75.366211 84.989 157.6949
75.702667 85.054 156.3137
76.039124 85.118 154.9754
76.375580 85.184 153.6677
76.712036 85.254 152.3727
77.048492 85.325 151.0713
77.384949 85.398 149.7469
77.721405 85.469 148.3893
78.057861 85.536 146.9973
78.394318 85.594 145.5807
78.730774 85.641 144.1595
79.067230 85.676 142.7613
79.403687 85.702 141.4144
79.740143 85.721 140.1401
80.076599 85.738 138.9443
80.413055 85.759 137.8140
80.749512 85.787 136.7199
81.085968 85.822 135.6264
81.422424 85.861 134.5043
81.758881 85.899 133.3417
82.095337 85.932 132.1472
82.431793 85.957 130.9447
82.768250 85.975 129.7617
83.104706 85.988 128.6161
83.441162 86.001 127.5077
83.777618 86.018 126.4182
84.114075 86.037 125.3199
84.450531 86.056 124.1890
84.786987 86.072 123.0181
85.123444 86.079 121.8205
85.459900 86.074 120.6265
85.796356 86.059 119.4727
86.132812 86.036 118.3887
86.469269 86.011 117.3876
86.805725 85.990 116.4618
87.142181 85.977 115.5871
87.478638 85.972 114.7313
87.815094 85.975 113.8656
88.151550 85.983 112.9716
88.488007 85.992 112.0442
88.824463 86.000 111.0887
89.160919 86.005 110.1159
89.497375 86.007 109.1363
89.833832 86.006 108.1561
90.170288 86.004 107.1764
90.506744 85.998 106.1945
90.843201 85.990 105.2078
91.179657 85.978 104.2166
91.516113 85.960 103.2271
91.852570 85.935 102.2520
92.189026 85.903 101.3079
92.525482 85.866 100.4115
92.861938 85.825 99.5751
93.198395 85.784 98.8018
93.534851 85.746 98.0850
93.871307 85.714 97.4083
94.207764 85.688 96.7499
94.544220 85.668 96.0882
94.880676 85.652 95.4061
95.217133 85.636 94.6948
95.553589 85.619 93.9557
95.890045 85.596 93.1986
96.226501 85.568 92.4402
96.562958 85.533 91.6997
96.899414 85.492 90.9948
97.235870 85.450 90.3373
97.572327 85.407 89.7304
97.908783 85.368 89.1674
98.245239 85.334 88.6335
98.581696 85.307 88.1103
98.918152 85.284 87.5808
99.254608 85.265 87.0339
99.591064 85.248 86.4663
99.927521 85.230 85.8816
100.263977 85.211 85.2870
100.600433 85.191 84.6895
100.936890 85.170 84.0937
101.273346 85.147 83.5016
101.609802 85.124 82.9142
101.946259 85.099 82.3344
102.282715 85.072 81.7681
102.619171 85.045 81.2229
102.955627 85.017 80.7051
103.292084 84.992 80.2153
103.628540 84.969 79.7464
103.964996 84.952 79.2849
104.301453 84.938 78.8150
104.637909 84.926 78.3257
104.974365 84.914 77.8151
105.310822 84.900 77.2920
105.647278 84.882 76.7714
105.983734 84.861 76.2679
106.320190 84.840 75.7881
106.656647 84.821 75.3272
106.993103 84.805 74.8710
107.329559 84.793 74.4015
107.666016 84.781 73.9058
108.002472 84.768 73.3814
108.338928 84.750 72.8375
108.675385 84.726 72.2909
109.011841 84.698 71.7589
109.348297 84.666 71.2534
109.684753 84.632 70.7770
110.021210 84.600 70.3242
110.357666 84.569 69.8852
110.694122 84.539 69.4511
111.030579 84.509 69.0177
111.367035 84.478 68.5868
111.703491 84.446 68.1649
112.039948 84.412 67.7599
112.376404 84.378 67.3786
112.712860 84.344 67.0236
113.049316 84.313 66.6924
113.385773 84.286 66.3772
113.722229 84.262 66.0670
114.058685 84.243 65.7495
114.395142 84.226 65.4151
114.731598 84.209 65.0597
115.068054 84.191 64.6866
115.404510 84.169 64.3062
115.740967 84.144 63.9332
116.077423 84.117 63.5821
116.413879 84.089 63.2616
116.750336 84.063 62.9711
117.086792 84.041 62.6996
117.423248 84.025 62.4284
117.759705 84.014 62.1369
118.096161 84.005 61.8094
118.432617 83.995 61.4409
118.769073 83.981 61.0388
119.105530 83.961 60.6216
119.441986 83.933 60.2125
119.778442 83.901 59.8323
120.114899 83.866 59.4928
120.451355 83.832 59.1926
120.787811 83.802 58.9180
121.124268 83.776 58.6484
121.460724 83.754 58.3639
121.797180 83.733 58.0527
122.133636 83.709 57.7148
122.470093 83.682 57.3616
122.806549 83.648 57.0105
123.143005 83.610 56.6796
123.479462 83.568 56.3811
123.815918 83.526 56.1192
124.152374 83.484 55.8904
124.488831 83.444 55.6869
124.825287 83.407 55.5007
125.161743 83.372 55.3268
125.498199 83.339 55.1629
125.834656 83.309 55.0077
126.171112 83.281 54.8576
126.507568 83.257 54.7058
126.844025 83.235 54.5433
127.180481 83.214 54.3631
127.516937 83.192 54.1653
127.853394 83.167 53.9596
128.189850 83.139 53.7638
128.526306 83.107 53.5979
128.862762 83.075 53.4758
129.199219 83.046 53.3983
129.535675 83.025 53.3510
129.872131 83.011 53.3093
130.208588 83.005 53.2473
130.545044 83.004 53.1480
130.881500 83.003 53.0095
131.217957 82.999 52.8426
131.554413 82.993 52.6648
131.890869 82.984 52.4907
132.227325 82.974 52.3264
132.563782 82.964 52.1687
132.900238 82.954 52.0105
133.236694 82.943 51.8479
133.573151 82.930 51.6854
133.909607 82.914 51.5356
134.246063 82.895 51.4134
134.582520 82.877 51.3282
134.918976 82.862 51.2773
135.255432 82.853 51.2453
135.591888 82.850 51.2097
135.928345 82.852 51.1501
136.264801 82.855 51.0565
136.601257 82.857 50.9320
136.937714 82.856 50.7902
137.274170 82.851 50.6481
137.610626 82.844 50.5184
137.947083 82.835 50.4047
138.283539 82.828 50.3021
138.619995 82.822 50.2013
138.956451 82.817 50.0947
139.292908 82.811 49.9810
139.629364 82.803 49.8664
139.965820 82.792 49.7615
140.302277 82.781 49.6768
140.638733 82.771 49.6174
140.975189 82.764 49.5801
141.311646 82.761 49.5540
141.648102 82.764 49.5229
141.984558 82.771 49.4712
142.321014 82.781 49.3884
142.657471 82.790 49.2725
142.993927 82.797 49.1305
143.330383 82.801 48.9760
143.666840 82.800 48.8253
144.003296 82.797 48.6921
144.339752 82.793 48.5837
144.676208 82.790 48.4998
