* Measurement data measured by REW V5.40 beta 107
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -11.5 dBFS, measurement signal peak level -9.3 dBFS
* Format: 10 second Pink noise FSAF at -12.0 dBFS using an acoustic timing reference
* Dated: 2025 Nov 25 14:37:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: HP: L-R 12 dB/octave at 20 Hz LP: L-R 12 dB/octave at 20 kHz
* Measurement: R Nov 25
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 35.700 50.4852
10.430145 33.323 76.5450
10.766602 36.626 112.3662
11.103058 41.816 120.0605
11.439514 45.927 115.1097
11.775970 49.142 105.8186
12.112427 51.726 94.7879
12.448883 53.836 83.0236
12.785339 55.563 71.0224
13.121796 56.964 59.0791
13.458252 58.073 47.4066
13.794708 58.912 36.1861
14.131165 59.495 25.6021
14.467621 59.831 15.8745
14.804077 59.931 7.2852
15.140533 59.810 0.2227
15.476990 59.511 -4.8055
15.813446 59.124 -7.2096
16.149902 58.823 -6.5970
16.486359 58.850 -3.3920
16.822815 59.378 0.7596
17.159271 60.352 3.8294
17.495728 61.551 4.7860
17.832184 62.773 3.7403
18.168640 63.908 1.2960
18.505096 64.923 -1.9426
18.841553 65.824 -5.5331
19.178009 66.639 -9.2172
19.514465 67.396 -12.9006
19.850922 68.113 -16.5920
20.187378 68.798 -20.3413
20.523834 69.446 -24.1760
20.860291 70.052 -28.0697
21.196747 70.612 -31.9442
21.533203 71.131 -35.7095
21.869659 71.626 -39.3073
22.206116 72.113 -42.7533
22.542572 72.609 -46.1451
22.879028 73.114 -49.6310
23.215485 73.615 -53.3474
23.551941 74.089 -57.3595
23.888397 74.507 -61.6334
24.224854 74.848 -66.0444
24.561310 75.101 -70.4107
24.897766 75.272 -74.5355
25.234222 75.376 -78.2536
25.570679 75.442 -81.4732
25.907135 75.500 -84.2047
26.243591 75.575 -86.5572
26.580048 75.677 -88.6963
26.916504 75.803 -90.7754
27.252960 75.938 -92.8856
27.589417 76.067 -95.0414
27.925873 76.180 -97.2080
28.262329 76.274 -99.3418
28.598785 76.351 -101.4204
28.935242 76.411 -103.4468
29.271698 76.449 -105.4276
29.608154 76.458 -107.3420
29.944611 76.433 -109.1232
30.281067 76.373 -110.6664
30.617523 76.289 -111.8649
30.953979 76.201 -112.6622
31.290436 76.134 -113.0945
31.626892 76.104 -113.2911
31.963348 76.110 -113.4195
32.299805 76.136 -113.5991
32.636261 76.158 -113.8399
32.972717 76.158 -114.0374
33.309174 76.132 -114.0249
33.645630 76.094 -113.6505
33.982086 76.073 -112.8508
34.318542 76.097 -111.6877
34.654999 76.182 -110.3220
34.991455 76.326 -108.9305
35.327911 76.515 -107.6209
35.664368 76.729 -106.3985
36.000824 76.960 -105.1942
36.337280 77.212 -103.9296
36.673737 77.499 -102.5789
37.010193 77.835 -101.1996
37.346649 78.229 -99.9195
37.683105 78.675 -98.8854
38.019562 79.158 -98.2064
38.356018 79.653 -97.9181
38.692474 80.143 -97.9831
39.028931 80.613 -98.3154
39.365387 81.059 -98.8164
39.701843 81.485 -99.4079
40.038300 81.899 -100.0534
40.374756 82.308 -100.7619
40.711212 82.713 -101.5716
41.047668 83.110 -102.5204
41.384125 83.491 -103.6168
41.720581 83.847 -104.8260
42.057037 84.172 -106.0775
42.393494 84.468 -107.2887
42.729950 84.744 -108.3957
43.066406 85.012 -109.3781
43.402863 85.284 -110.2635
43.739319 85.565 -111.1119
44.075775 85.856 -111.9844
44.412231 86.151 -112.9179
44.748688 86.446 -113.9197
45.085144 86.738 -114.9839
45.421600 87.029 -116.1154
45.758057 87.318 -117.3428
46.094513 87.600 -118.7087
46.430969 87.864 -120.2391
46.767426 88.094 -121.9101
47.103882 88.275 -123.6296
47.440338 88.402 -125.2467
47.776794 88.481 -126.5873
48.113251 88.534 -127.5095
48.449707 88.595 -127.9634
48.786163 88.696 -128.0293
49.122620 88.859 -127.9017
49.459076 89.085 -127.8118
49.795532 89.355 -127.9328
50.131989 89.643 -128.3261
50.468445 89.927 -128.9532
50.804901 90.196 -129.7255
51.141357 90.449 -130.5568
51.477814 90.690 -131.3934
51.814270 90.923 -132.2151
52.150726 91.151 -133.0175
52.487183 91.376 -133.7938
52.823639 91.600 -134.5299
53.160095 91.829 -135.2165
53.496552 92.068 -135.8678
53.833008 92.323 -136.5299
54.169464 92.593 -137.2675
54.505920 92.871 -138.1360
54.842377 93.146 -139.1523
55.178833 93.408 -140.2859
55.515289 93.651 -141.4710
55.851746 93.876 -142.6353
56.188202 94.090 -143.7285
56.524658 94.302 -144.7395
56.861115 94.521 -145.6942
57.197571 94.749 -146.6379
57.534027 94.986 -147.6121
57.870483 95.227 -148.6407
58.206940 95.470 -149.7304
58.543396 95.713 -150.8798
58.879852 95.953 -152.0897
59.216309 96.189 -153.3641
59.552765 96.419 -154.7043
59.889221 96.638 -156.1002
60.225677 96.846 -157.5276
60.562134 97.041 -158.9548
60.898590 97.227 -160.3559
61.235046 97.409 -161.7230
61.571503 97.592 -163.0703
61.907959 97.776 -164.4255
62.244415 97.961 -165.8141
62.580872 98.143 -167.2454
62.917328 98.319 -168.7087
63.253784 98.488 -170.1831
63.590240 98.652 -171.6535
63.926697 98.814 -173.1227
64.263153 98.975 -174.6111
64.599609 99.133 -176.1421
64.936066 99.282 -177.7210
65.272522 99.416 -179.3213
65.608978 99.533 179.1119
65.945435 99.636 177.6404
66.281891 99.736 176.3013
66.618347 99.845 175.0811
66.954803 99.972 173.9120
67.291260 100.119 172.6972
67.627716 100.277 171.3545
67.964172 100.431 169.8533
68.300629 100.569 168.2255
68.637085 100.681 166.5472
68.973541 100.770 164.9030
69.309998 100.842 163.3517
69.646454 100.908 161.9068
69.982910 100.976 160.5408
70.319366 101.048 159.2097
70.655823 101.123 157.8817
70.992279 101.196 156.5517
71.328735 101.267 155.2360
71.665192 101.338 153.9507
72.001648 101.412 152.6920
72.338104 101.493 151.4323
72.674561 101.579 150.1350
73.011017 101.666 148.7792
73.347473 101.746 147.3755
73.683929 101.818 145.9620
74.020386 101.883 144.5795
74.356842 101.948 143.2423
74.693298 102.019 141.9219
75.029755 102.099 140.5577
75.366211 102.179 139.0938
75.702667 102.248 137.5175
76.039124 102.293 135.8792
76.375580 102.309 134.2773
76.712036 102.302 132.8163
77.048492 102.287 131.5554
77.384949 102.282 130.4731
77.721405 102.299 129.4734
78.057861 102.338 128.4344
78.394318 102.384 127.2760
78.730774 102.422 125.9994
79.067230 102.440 124.6787
79.403687 102.438 123.4119
79.740143 102.428 122.2618
80.076599 102.423 121.2197
80.413055 102.432 120.2140
80.749512 102.452 119.1592
81.085968 102.472 118.0134
81.422424 102.479 116.8041
81.758881 102.471 115.6072
82.095337 102.452 114.4964
82.431793 102.434 113.4949
82.768250 102.429 112.5595
83.104706 102.439 111.6089
83.441162 102.457 110.5775
83.777618 102.471 109.4548
84.114075 102.472 108.2863
84.450531 102.460 107.1382
84.786987 102.441 106.0540
85.123444 102.422 105.0319
85.459900 102.405 104.0373
85.796356 102.388 103.0402
86.132812 102.365 102.0485
86.469269 102.333 101.1100
86.805725 102.296 100.2811
87.142181 102.267 99.5812
87.478638 102.258 98.9634
87.815094 102.273 98.3264
88.151550 102.307 97.5632
88.488007 102.342 96.6163
88.824463 102.362 95.5056
89.160919 102.353 94.3170
89.497375 102.313 93.1645
89.833832 102.249 92.1487
90.170288 102.176 91.3242
90.506744 102.110 90.6846
90.843201 102.062 90.1685
91.179657 102.038 89.6816
91.516113 102.035 89.1300
91.852570 102.039 88.4534
92.189026 102.038 87.6482
92.525482 102.020 86.7704
92.861938 101.979 85.9168
93.198395 101.923 85.1854
93.534851 101.866 84.6267
93.871307 101.829 84.2082
94.207764 101.820 83.8176
94.544220 101.838 83.3155
94.880676 101.863 82.6115
95.217133 101.873 81.7170
95.553589 101.853 80.7425
95.890045 101.800 79.8453
96.226501 101.731 79.1515
96.562958 101.670 78.6871
96.899414 101.638 78.3546
97.235870 101.642 77.9805
97.572327 101.667 77.4142
97.908783 101.687 76.6124
98.245239 101.677 75.6609
98.581696 101.630 74.7275
98.918152 101.555 73.9788
99.254608 101.478 73.4973
99.591064 101.425 73.2332
99.927521 101.413 73.0254
100.263977 101.437 72.6866
100.600433 101.475 72.1027
100.936890 101.501 71.2811
101.273346 101.495 70.3307
101.609802 101.456 69.3980
101.946259 101.394 68.5993
102.282715 101.324 67.9771
102.619171 101.263 67.4962
102.955627 101.217 67.0799
103.292084 101.182 66.6593
103.628540 101.153 66.2067
103.964996 101.124 65.7341
104.301453 101.093 65.2679
104.637909 101.063 64.8221
104.974365 101.036 64.3886
105.310822 101.014 63.9470
105.647278 100.994 63.4819
105.983734 100.975 62.9916
106.320190 100.954 62.4827
106.656647 100.932 61.9570
106.993103 100.909 61.4062
107.329559 100.882 60.8196
107.666016 100.849 60.2008
108.002472 100.803 59.5785
108.338928 100.746 58.9998
108.675385 100.683 58.5064
109.011841 100.621 58.1079
109.348297 100.570 57.7711
109.684753 100.532 57.4361
110.021210 100.500 57.0512
110.357666 100.466 56.6062
110.694122 100.422 56.1399
111.030579 100.367 55.7198
111.367035 100.307 55.4045
111.703491 100.254 55.2100
112.039948 100.220 55.0965
112.376404 100.208 54.9839
112.712860 100.215 54.7866
113.049316 100.231 54.4490
113.385773 100.242 53.9647
113.722229 100.237 53.3759
114.058685 100.210 52.7586
114.395142 100.159 52.2007
114.731598 100.094 51.7767
115.068054 100.028 51.5211
115.404510 99.975 51.4108
115.740967 99.946 51.3648
116.077423 99.940 51.2741
116.413879 99.949 51.0484
116.750336 99.954 50.6597
117.086792 99.940 50.1562
117.423248 99.899 49.6413
117.759705 99.836 49.2285
118.096161 99.764 48.9896
118.432617 99.702 48.9190
118.769073 99.662 48.9350
119.105530 99.647 48.9195
119.441986 99.647 48.7781
119.778442 99.644 48.4845
120.114899 99.626 48.0860
120.451355 99.585 47.6748
120.787811 99.525 47.3443
121.124268 99.458 47.1487
121.460724 99.398 47.0840
121.797180 99.352 47.0953
122.133636 99.324 47.1074
122.470093 99.308 47.0619
122.806549 99.294 46.9405
123.143005 99.276 46.7651
123.479462 99.249 46.5792
123.815918 99.217 46.4227
124.152374 99.184 46.3143
124.488831 99.153 46.2490
124.825287 99.127 46.2090
125.161743 99.106 46.1791
125.498199 99.090 46.1551
125.834656 99.077 46.1385
126.171112 99.070 46.1241
126.507568 99.069 46.0919
126.844025 99.072 46.0148
127.180481 99.074 45.8783
127.516937 99.067 45.7007
127.853394 99.047 45.5367
128.189850 99.016 45.4556
128.526306 98.985 45.5034
128.862762 98.968 45.6687
129.199219 98.975 45.8770
129.535675 99.005 46.0233
129.872131 99.048 46.0272
130.208588 99.090 45.8734
130.545044 99.117 45.6124
130.881500 99.127 45.3256
131.217957 99.124 45.0779
131.554413 99.116 44.8879
131.890869 99.111 44.7303
132.227325 99.107 44.5696
132.563782 99.099 44.3965
132.900238 99.086 44.2398
133.236694 99.068 44.1442
133.573151 99.055 44.1299
133.909607 99.056 44.1648
134.246063 99.074 44.1743
134.582520 99.104 44.0858
134.918976 99.132 43.8771
135.255432 99.148 43.5928
135.591888 99.148 43.3157
135.928345 99.142 43.1133
136.264801 99.140 42.9915
136.601257 99.152 42.8888
136.937714 99.176 42.7179
137.274170 99.200 42.4288
137.610626 99.208 42.0485
137.947083 99.193 41.6721
138.283539 99.159 41.4120
138.619995 99.120 41.3346
138.956451 99.096 41.4207
139.292908 99.096 41.5759
139.629364 99.120 41.6856
139.965820 99.155 41.6812
140.302277 99.186 41.5704
140.638733 99.206 41.4183
140.975189 99.215 41.2990
141.311646 99.222 41.2498
141.648102 99.237 41.2526
141.984558 99.264 41.2522
142.321014 99.298 41.1941
142.657471 99.332 41.0572
142.993927 99.358 40.8616
143.330383 99.374 40.6517
143.666840 99.382 40.4692
144.003296 99.387 40.3334
144.339752 99.393 40.2356
144.676208 99.405 40.1490
145.012665 99.422 40.0443
145.349121 99.441 39.9026
145.685577 99.457 39.7225
